Title,Company,Location,Date_Posted,Date_Collected
Software Engineer,Commerzbank Digital Technology Centre Lodz,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
DMS Test Engineer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
DevOps AWS,P&P Solutions Sp. z o.o.,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Software Engineer WebMethods X-Gen,Commerzbank AG,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Salesforce Developer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Scrum Master / C++ Developer,ForManWay,"Łódź, Łódzkie, Poland",2023-01-05,2023-02-02
Digital Finance Transformation Expert (Consultant/Analyst) (CN),Accenture Poland,"Łódź, Łódzkie, Poland",2022-11-30,2023-02-02
"Analyst (SOAP) (Bangkok-based role, Relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Internship - Software development,Hitachi Energy,"Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
Azure Data Architect,Accenture Poland,"Łódź, Łódzkie, Poland",2022-08-31,2023-02-02
Service Engineer,Hitachi Energy,"Łódź, Łódzkie, Poland",2023-01-08,2023-02-02
Cloud Software Developer,Ericsson,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Test Developer (C#),Inwedo,"Łódź, Łódzkie, Poland",2022-12-25,2023-02-02
OT Security Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-19,2023-02-02
Internship - Front-end Software Engineering,TomTom,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
R/Shiny Developer – pharmaceutical industry,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
"Business Intelligence Developer, Product Team (Bangkok based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-18,2023-02-02
Senior DevOps + Azure,IDEMIA,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Business Controller/Analyst,Antal Poland,"Łódź, Łódzkie, Poland",2022-11-13,2023-02-02
Python/Bash Software Developer for Linux,Fujitsu,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
Junior Mobile Frontend Developer,Instytut Rozwoju Kapitału Ludzkiego Sp. z o.o.,"Łódź, Łódzkie, Poland",2022-12-19,2023-02-02
Regular Salesforce Developer,www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-28,2023-02-02
Senior Salesforce Developer,PwC Polska,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
Programista .NET,IDES Consultants Polska,"Łódź, Łódzkie, Poland",2022-12-22,2023-02-02
Junior Mobile Frontend Developer,Instytut Rozwoju Kapitału Ludzkiego Sp. z o.o.,"Łódź, Łódzkie, Poland",2022-12-19,2023-02-02
Business Analyst,TomTom,"Łódź, Łódzkie, Poland",2023-01-28,2023-02-02
Platform / Build Engineer for Hosted Web Applications,Bosch Polska,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Test Developer (C#),Inwedo,"Łódź, Łódzkie, Poland",2022-11-25,2023-02-02
Senior FBS FP&A Analyst,Tate & Lyle,"Łódź, Łódzkie, Poland",2023-01-17,2023-02-02
MacOS Developer (Poland),Pertemps ERP (part of Network EMEA),"Łódź, Łódzkie, Poland",2023-01-22,2023-02-02
Senior Business Analyst to prevent Financial Crime,Nordea,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
JavaScript/Python Developer,Grafton Recruitment,"Łódź, Łódzkie, Poland",2022-08-26,2023-02-02
Software Engineer (C#),BytePitch - Software Labs,"Łódź, Łódzkie, Poland",2022-12-16,2023-02-02
Manual QA Engineer,Status,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
DevOps Engineer - Observability & Monitoring (Remote Poland),Relativity,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
"Analytical roles- Analyst/ Senior Analyst/ Associate Manager (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Requirements Engineer,ZF Group,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
Manual QA Engineer,Status,"Łódź, Łódzkie, Poland",2023-01-26,2023-02-02
Requirements Engineer,ZF Group,"Łódź, Łódzkie, Poland",2023-01-12,2023-02-02
Scrum Master / C++ Software Developer,Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Application Management Expert/Business Analyst in Business Banking team,Nordea,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
"Analyst & Senior Analyst- Pay Per Click, Marketing (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Expert Software Engineer,TomTom,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
Quality Specialist (Analyst) with  German- Krakow,Infosys Poland,"Łódź, Łódzkie, Poland",2022-12-13,2023-02-02
Integration Developer with Azure,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-14,2023-02-02
Junior/Mid Frontend Developer (React),www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-11,2023-02-02
ServiceNow Developer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
"Analytical roles- Analyst/ Senior Analyst/ Associate Manager (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
"Associate Manager, Customer Analytics (Bangkok-based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
"Computer Vision Engineer C++ (Hybrid, no VISA sponsorship)",Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
DevOps Engineer,Tameshi,"Łódź, Łódzkie, Poland",2022-11-14,2023-02-02
Senior Business Analyst in Solution Deliver,Nordea,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
"Analyst or Senior Analyst, App Marketing (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Test Engineer,TomTom,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Senior Developer,HARMAN International,"Łódź, Łódzkie, Poland",2023-02-02,2023-02-02
DMS Software Engineer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-22,2023-02-02
Software Engineer (JR0010572),TomTom,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
Cloud DevOps Engineer,"Nordcloud, an IBM Company","Łódź, Łódzkie, Poland",2023-01-31,2023-02-02
Junior Front-end Developer,LeasingTeam Group,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
"Analyst/Senior Analyst (SOAP) (Bangkok-based role, Relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
API Installation Engineer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-23,2023-02-02
"Analyst or Senior Analyst (SOAP) (Bangkok-based role, Relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Senior Business Analyst,Signify,"Łódź, Łódzkie, Poland",2022-08-15,2023-02-02
"Software Development Engineer In Test (Hybrid, no VISA sponsorship)",Hexagon AB,"Łódź, Łódzkie, Poland",2022-12-29,2023-02-02
Senior Salesforce Developer,www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-30,2023-02-02
"Analyst or Senior Analyst or Associate Manager(Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
Remote .NET Developer,Inwedo,"Łódź, Łódzkie, Poland",2022-11-16,2023-02-02
HR Business Analyst,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-28,2023-02-02
Senior Driver Developer,Mobica,"Łódź, Łódzkie, Poland",2023-01-29,2023-02-02
Drupal Developer,www.TeamQuest.pl,"Łódź, Łódzkie, Poland",2023-01-16,2023-02-02
"Senior Analyst (Bangkok Based, relocation provided)",Agoda,"Łódź, Łódzkie, Poland",2023-01-20,2023-02-02
DevOps Engineer (Kubernetes),Comarch,"Łódź, Łódzkie, Poland",2023-01-27,2023-02-02
Salesforce Marketing Cloud Developer,Sii Poland,"Łódź, Łódzkie, Poland",2023-01-13,2023-02-02
Software Developer I Kubernetes,Vistex,"Łódź, Łódzkie, Poland",2022-12-19,2023-02-02
Application Management Expert/Business Analyst in Business Banking team,Nordea,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
Senior Developer,HARMAN International,"Łódź, Łódzkie, Poland",2023-01-21,2023-02-02
Python Developer with Django,Sii Poland,"Łódź, Łódzkie, Poland",2023-02-01,2023-02-02
